English lemmas,English Definition,Arabic  lemmas or Gap,Arabic Definition
cream_sauce, white sauce made with cream ,صلصة كريمة," هي صلصة مصنوعة من الكريمة، مما يعطيها قواما كريميا. يمكن أن تكون صلصة الكريمة بالزعتر الليموني مصنوعة من مجموعة متنوعة من المكونات، مثل الكريمة والزعتر والليمون والثوم والأعشاب والتوابل. تستخدم صلصة الكريمة بالزعتر الليموني في مجموعة متنوعة من الأطباق، مثل المعكرونة والسندويشات والسلطات."
wine_sauce, white or veloute sauce with wine and stock variously seasoned with onions and herbs; for fish or meat ,GAP,
"soy_sauce, soy", thin sauce made of fermented soy beans ,صلصة صويا,"هي صلصة مصنوعة من فول الصويا، مما يعطيها نكهة مميزة. يمكن أن تكون صلصة الصويا مصنوعة من مجموعة متنوعة من المكونات، مثل فول الصويا والسكر والملح. تستخدم صلصة الصويا في مجموعة متنوعة من الأطباق، مثل اللحوم والدواجن والأسماك والسلطات."
"spread, paste", a meal that is well prepared and greatly enjoyed ,GAP,
anchovy_butter, butter blended with mashed anchovies ,GAP,
cheese_spread, spread made of cheese mixed with butter or cream or cream cheese and seasonings ,جبن دهن,هو نوع من الجبن يحتوي على نسبة عالية من الدهون. يمكن أن يكون جبن الدهن حيوانيا أو نباتيا. بعض الأمثلة على جبن الدهن الحيواني هي الجبن الشيدر والجبن الأزرق والجبن الكريمي. بعض الأمثلة على جبن الدهن النباتي هي جبن الصويا والجبن النباتي.
fishpaste, a paste of fish or shellfish ,GAP,
garlic_butter, butter seasoned with mashed garlic ,زبدة الثوم, هي مزيج يتم تحضيره من خلال خلط الزبدة الطرية مع الثوم المهروس. تستخدم بشكل واسع في العديد من الأطباق والوصفات.
lobster_butter, butter blended with chopped lobster or seasoned with essence from lobster shells ,GAP,
"margarine, margarin, oleo, oleomargarine, marge", a spread made chiefly from vegetable oils and used as a substitute for butter ,سمن نباتي أو سمن صناعي," هو نوع من الدهون النباتية التي يتم تصنيعها في المختبر. يمكن أن يستخدم السمن النباتي في مجموعة متنوعة من الأطباق، مثل الخبز والمعكرونة والحلويات."
marshmallow_fluff, a very sweet white spread resembling marshmallow candy ,مارشميلو,هي حلوى مصنوعة من السكر والماء والصمغ العربي. تتميز المارشميلو بطعمها الحلو والطري.
miso, a thick paste made from fermented soybeans and barley or rice malt; used in Japanese cooking to make soups or sauces ,GAP,
onion_butter, butter blended with minced onion ,GAP,
pate, liver or meat or fowl finely minced or ground and variously seasoned ,لحم مفروم متبل,"لحم مفروم تم تتبيله بمجموعة من التوابل والبهارات، مما يمنحه نكهة مميزة."
nut_butter, ground nuts blended with a little butter ,زبدة جوز,"هي نوع من الزبدة المصنوعة من المكسرات، مثل اللوز أو الجوز أو الكاجو. يمكن أن تستخدم زبدة الجوز في مجموعة متنوعة من الأطباق، مثل السندويشات والسندويشات المفتوح والحلويات."
duck_pate, a pate made from duck liver ,GAP,
"foie_gras, pate_de_foie_gras", a pate made from goose liver (marinated in Cognac) and truffles ,GAP,
peanut_butter, a spread made from ground peanuts ,زبدة الفول السوداني,معجون غذائي مصنوع من الفول السوداني المحمص والمطحون. عادةً ما تُضاف إليها مكونات أخرى مثل الزيت والملح والسكر لتحسين الطعم والقوام.
pimento_butter, butter blended with mashed pimento ,GAP,
shrimp_butter, butter blended with chopped shrimp or seasoned with essence from shrimp shells ,GAP,
tahini, a thick Middle Eastern paste made from ground sesame seeds ,طحينة," هي نوع من الصلصات المصنوعة من السمسم. يمكن أن تستخدم طحينة في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والسندويشات."
tapenade, a spread consisting of capers and black olives and anchovies made into a puree with olive oil ,GAP,
taco_sauce, spicy tomato-based sauce for tacos ,GAP,
steak_sauce, pungent bottled sauce for steak ,GAP,
chili_vinegar, fiery vinegar flavored with chili peppers ,GAP,
wine_vinegar, vinegar made from wine ,GAP,
"vinegar, acetum", sour-tasting liquid produced usually by oxidation of the alcohol in wine or cider and used as a condiment or food preservative ,خل," هو سائل حامض مصنوع من تخمير العصير أو السائل السكري. يستخدم الخل في مجموعة متنوعة من الأطباق، مثل السلطات والصلصات والمخللات."
cider_vinegar, vinegar made from cider ,GAP,
"coriander, coriander_seed", parsley-like herb used as seasoning or garnish ,بذور الكزبرة,"الثمار المجففة لنبات الكزبرة، وهي عبارة عن حبوب صغيرة دائرية ذات لون بني مصفر. تتميز بذور الكزبرة بنكهة عطرية دافئة وحارة قليلاً، وتستخدم على نطاق واسع في العديد من المأكولات حول العالم، خاصة في المطبخ العربي والهندي"
wasabi, the thick green root of the wasabi plant that the Japanese use in cooking and that tastes like strong horseradish; in powder or paste form it is often eaten with raw fish ,GAP,
pavlova, a dessert consisting of a meringue base or cup filled with fruit and whipped cream ,GAP,
peach_melba, ice cream and peaches with a liqueur ,GAP,
trifle," a cold pudding made of layers of sponge cake spread with fruit or jelly; may be decorated with nuts, cream, or chocolate ",كعكة فواكه,"هي كعكة مصنوعة من الفواكه، مثل الفراولة أو التوت أو التفاح."
brown_betty, baked pudding of apples and breadcrumbs ,GAP,
pudding, any of various soft sweet desserts thickened usually with flour and baked or boiled or steamed ,كعك,خبزٌ يعمل من الدقيق والسكر والسمن ويسوى مستديرا
tipsy_cake, a trifle soaked in wine and decorated with almonds and candied fruit ,GAP,
chocolate_pudding, sweet chocolate flavored custard-like pudding usually thickened with flour rather than eggs ,كعكة شوكولاتة,"هي كعكة مصنوعة من الشوكولاتة، ويمكن أن تكون إسفنجية أو غنية أو كثيفة."
"duff, plum_duff", a stiff flour pudding steamed or boiled usually and containing e.g. currants and raisins and citron ,GAP,
flummery, a bland custard or pudding especially of oatmeal ,GAP,
pease_pudding, a pudding made with strained split peas mixed with egg ,GAP,
"nesselrode, nesselrode_pudding", a rich frozen pudding made of chopped chestnuts and maraschino cherries and candied fruits and liqueur or rum ,GAP,
"plum_pudding, christmas_pudding", a rich steamed or boiled pudding that resembles cake ,GAP,
"roly-poly, roly-poly_pudding", pudding made of suet pastry spread with jam or fruit and rolled up and baked or steamed ,GAP,
steamed_pudding, a pudding cooked by steaming ,كعكة إسفنجية,"كعكة خفيفة مسامية تصنع من الدقيق والسكر والبيض والنكهات، ولا تحتوي على دهون"
suet_pudding, a sweet or savory pudding made with suet and steamed or boiled ,GAP,
vanilla_pudding, sweet vanilla flavored custard-like pudding usually thickened with flour rather than eggs ,كعكة كريمة,"هي كعكة محشوة بالكريمة، ويمكن أن تكون إسفنجية أو غنية أو كثيفة."
spotted_dick, a suet pudding containing currants ,GAP,
tapioca_pudding, sweet pudding thickened with tapioca ,GAP,
"syllabub, sillabub", sweetened cream beaten with wine or liquor ,GAP,
tiramisu, an Italian dessert consisting of layers of sponge cake soaked with coffee and brandy or liqueur layered with mascarpone cheese and topped with grated chocolate ,تيراميسو,حلوى إيطالية شهيرة تتكون من طبقات
whip, a dessert made of sugar and stiffly beaten egg whites or cream and usually flavored with fruit ,GAP,
